25,0,0,583540,13046,3592,3276,4274,2118,1636,427
0,0,0,1699037,40789,45666,26416,6193,16294,4812,2809
0,0,0,839258,76204,36484,24414,8907,9146,8186,6110
0,0,0,228117,13729,2405,4791,9086,5189,2436,6344
0,30,30,925499,605239,99005,54038,37967,32114,7403,10219
0,20,41,2018379,96921,76147,30384,14128,6442,8912,5066
0,11,27,293959,26996,3943,2042,7849,1705,1555,855
25,11,27,233277,13831,1160,985,206,178,182,94
0,1,10,805009,1481805,92417,22266,110972,48737,20284,6138
51,1,10,1053658,82647,79323,39029,54027,54318,17992,20249
25,1,10,1413901,323871,56126,51532,66806,33518,19215,3244
25,1,10,650134,37829,18200,23908,21564,53481,8963,2683
51,1,10,1088078,186077,20287,50719,94017,48273,29684,21754
0,1,23,274295,77641,39956,9142,11023,3052,4013,5251
0,10,8,207690,29921,4413,3068,4684,6335,1733,362
0,8,10,1137448,72225,7648,3668,19833,3528,2319,5042
0,14,24,63064,36759,6501,3870,5311,2496,1028,1129
0,23,8,530369,280941,33702,6212,16461,13032,2899,3863
0,8,20,508924,116032,29454,47307,10901,9195,5077,4624
0,17,38,334141,78970,36615,19383,6741,14251,9986,1957
0,37,40,11749,10057,2954,1329,1102,3629,666,1114
0,40,54,433986,82314,29366,17878,26302,6663,3491,3117
0,51,51,36212,22655,11037,5061,6727,4542,2215,3524
0,54,38,17031,69178,9455,6903,16442,10426,4684,3338
0,48,38,14936,47771,11449,10713,7579,11798,4413,3653
0,54,47,16149,38504,14722,27974,8315,6724,15571,2212
0,56,48,451533,40300,22081,4878,4941,9207,4219,3609
0,60,61,45476,12704,2933,14880,12685,5219,4005,4651
0,53,67,41734,51124,35205,33418,80353,10284,9704,2650
0,37,53,818627,251398,18267,41604,9445,6867,5112,2870
0,38,50,15671,32143,7058,20623,21209,8881,1730,2224
0,30,48,45293,58341,26464,7075,6967,8396,2610,2806
0,26,53,327270,67318,27803,44294,26754,7906,5265,2693
0,40,53,2267960,100436,7581,17282,5850,10184,5202,1919
0,47,50,11653,3904,1732,451,1257,1472,495,495
0,51,54,283067,15332,14740,9889,12699,5329,5014,6167
0,48,44,271990,22047,6520,4472,7597,1576,278,502
0,50,51,1918042,75984,20217,11264,4372,9781,1862,726
0,26,43,29600,34253,2826,3397,2169,1481,784,1000
0,20,29,117300,15627,5069,2286,13621,1685,423,411
0,20,26,245393,46116,6938,5605,2678,2695,827,427
0,8,24,20215,59497,13012,11324,4269,2649,4078,2410
0,17,38,25365,17612,8693,2406,2137,2736,1411,1203
0,13,44,129289,29509,5667,8791,4030,2186,2325,823
0,20,51,55640,81204,19534,17584,5073,8818,4009,4281
0,21,43,623011,551907,71979,31648,22007,26619,4537,3693
0,4,27,1974391,727724,92468,28370,61628,15840,5422,6725
0,13,20,58431,42148,2488,11670,13299,6002,2538,2822
0,11,7,65542,44424,726,6088,7289,3336,862,910
0,23,27,113470,12746,13155,21726,18258,5098,1493,3733
0,43,30,1896066,299478,19379,44705,16852,38604,12059,8860
0,30,30,845512,109085,16081,9559,5083,5470,5660,2647
0,30,44,23057,24763,4291,7325,2810,2450,1829,975
0,14,23,284477,195972,12237,23148,5956,6893,1466,1137
25,14,23,1298890,140928,98578,113145,23534,17428,5376,3153
0,3,17,1112321,386146,36465,9189,20643,16956,8209,4594
0,23,7,94796,8585,470,602,2849,1681,573,325
0,14,1,1402383,149467,3679,7476,19944,5447,1211,2106
0,23,1,134243,46346,5834,9282,3900,3658,3099,2122
0,26,16,1158014,154137,83404,83439,19008,17082,8129,5166
0,24,43,111501,32082,16198,21130,5099,11067,6750,9591
0,35,64,115374,12988,2350,4799,1725,1474,1070,4498
0,53,77,82558,11973,9751,14233,5798,9230,5420,6016
0,47,54,305063,38482,4163,1309,1814,1314,468,516
0,29,53,784901,173103,110085,33377,16436,12084,4298,3504
0,24,51,14762,14491,2734,4852,4036,1050,116,221
0,1,48,2319942,304456,175627,64629,71681,12834,5851,7030
0,13,78,913381,8788,26631,37019,20534,10936,5108,2417
